{4514}bufuzhongwang 不负众望
{4510}buganbuga 不尴不尬
{4511}bugangoutong 不敢苟同
{4513}buganjimo 不甘寂寞
{4512}buganshiruo 不甘示弱
{4509}buganyueleichiyibu 不敢越雷池一步
{4506}bugongdaitian 不共戴天
{4508}bugongzipo 不攻自破
{4507}bugouyanxiao 不苟言笑
{4504}buguanbugu 不管不顾
{4503}buguansanqiershiyi 不管三七二十一
{4505}buguantongyang 不关痛痒
{4502}buguoerer 不过尔尔
{4501}buhanerli 不寒而栗
{4500}buheshiyi 不合时宜
{4499}buhuanersan 不欢而散
{4498}buhuozhinian 不惑之年
{4496}bujibuli 不即不离
{4495}bujibuxu 不疾不徐
{4494}bujiqishu 不计其数
{4497}bujizhicai 不羁之才
{4492}bujiabuse 不稼不穑
{4493}bujiasisuo 不假思索
{4491}bujianguancaibuluolei 不见棺材不落泪
{4490}bujianjingzhuan 不见经传
{47}bujiantaishan 不见泰山
{4489}bujiantianri 不见天日
{4488}bujiaobuzao 不骄不躁
{4480}bujiaoerzhu 不教而诛
{4487}bujiezhiyuan 不解之缘
{4479}bujinbufa 不矜不伐
{4486}bujinzetui 不进则退
{4484}bujingerzou 不胫而走
{4485}bujingzhitan 不经之谈
{4483}bujuxiaojie 不拘小节
{4482}bujuyige 不拘一格
{4481}bujuerulv 不绝如缕
{4478}bujueyuer 不绝于耳
{4476}bukanhuishou 不堪回首
{4475}bukanruer 不堪入耳
{4474}bukanrumu 不堪入目
{4471}bukansengmiankanfomian 不看僧面看佛面
{4473}bukanshexiang 不堪设想
{4472}bukanyiji 不堪一击
{4477}bukanzhilun 不刊之论
{4470}bukangbubei 不亢不卑
{4469}bukedongyao 不可动摇
{4468}bukegaoren 不可告人
{4467}bukejiuyao 不可救药
{4466}bukekaijiao 不可开交
{4465}bukeliyu 不可理喻
{4464}bukemingzhuang 不可名状
{4463}bukemomie 不可磨灭
{4462}bukeshoushi 不可收拾
{4461}bukesiyi 不可思议
{4460}buketongrieryu 不可同日而语
{4459}bukexianliang 不可限量
{17}bukeyanchuan 不可言传
{4458}bukeyishi 不可一世
{4457}bukezaoci 不可造次
{4456}bukezhongri 不可终日
{4455}bukezhuomo 不可捉摸
{4454}bulaoerhuo 不劳而获
{4453}buliaoliaozhi 不了了之
{4452}bulincijiao 不吝赐教
{4451}bulunbulei 不伦不类
{4450}buluokejiu 不落窠臼
{4373}bulvpanshan 步履蹒跚
{4372}bulvweijian 步履维艰
{4449}bumanbuzhi 不蔓不枝
{4448}bumaozhidi 不毛之地
{4447}bumouerhe 不谋而合
{104}bumouqizheng 不谋其政
{4446}bunengziba 不能自拔
{4445}bunengziyi 不能自已
{4444}bupianbuyi 不偏不倚
{4443}bupingzeming 不平则鸣
{4442}bupobuli 不破不立
{4441}buqieryu 不期而遇
{4440}buqiushenjie 不求甚解
{4439}buqiuwenda 不求闻达
{4438}buqubunao 不屈不挠
{4548}buqueshiyi 补阙拾遗
{4371}burenhouchen 步人后尘
{4437}burenzudu 不忍卒读
{4436}burongzhibian 不容置辩
{4435}burongzhihui 不容置喙
{4434}burongzhiyi 不容置疑
{165}buruhuxue 不入虎穴
{4433}busanbusi 不三不四
{4432}bushengmeiju 不胜枚举
{4431}bushengqifan 不胜其烦
{4430}bushishiwu 不识时务
{4429}bushitaiju 不识抬举
{4428}bushitaishan 不识泰山
{4427}bushizhousu 不食周粟
{4426}busuzhike 不速之客
{4424}butongbuyang 不痛不痒
{4425}butongfanxiang 不同凡响
{129}buweiwaquan 不为瓦全
{4423}buweiwudoumizheyao 不为五斗米折腰
{4422}buwenbuwen 不闻不问
{4421}buwenbuwu 不文不武
{4420}buwenqinghongzaobai 不问青红皂白
{4419}buwuzhengye 不务正业
{4418}buxiangshangxia 不相上下
{4417}buxiaozisun 不肖子孙
{4416}buxieyigu 不屑一顾
{4415}buxingrenshi 不省人事
{4414}buxiubianfu 不修边幅
{4413}buxubuji 不徐不疾
{4412}buxuewushu 不学无术
{4411}buxunsiqing 不徇私情
{4410}buyaneryu 不言而喻
{4409}buyanqifan 不厌其烦
{4408}buyiburao 不依不饶
{4402}buyierfei 不翼而飞
{4407}buyierzu 不一而足
{107}buyiguiju 不以规矩
{4403}buyilehu 不亦乐乎
{4377}buyiqianshou 布衣黔首
{4375}buyishushi 布衣蔬食
{4405}buyiweichi 不以为耻
{4404}buyiweiran 不以为然
{4406}buyiyuli 不遗余力
{4401}buyizhicai 不义之财
{4370}buyizhijiao 布衣之交
{4400}buyoufenshuo 不由分说
{4399}buyouzizhu 不由自主
{4398}buyuanqianli 不远千里
{4397}buyueertong 不约而同
{4396}buzaihuaxia 不在话下
{105}buzaiqiwei 不在其位
{4395}buzeshouduan 不择手段
{4384}buzhaobianji 不着边际
{4394}buzhebukou 不折不扣
{4393}buzhengzhifeng 不正之风
{4392}buzhihaodai 不知好歹
{4385}buzhikefou 不置可否
{4391}buzhiquxiang 不知去向
{4390}buzhishenqian 不知深浅
{4389}buzhisuocuo 不知所措
{4388}buzhisuoyun 不知所云
{4387}buzhisuozhong 不知所终
{4386}buzhizhizheng 不治之症
{4383}buziliangli 不自量力
{4382}buzuguachi 不足挂齿
{4381}buzuweiping 不足为凭
{4380}buzuweiqi 不足为奇
{4376}buzuweiwairendao 不足为外人道
{4379}buzuweixun 不足为训
{185}caifengsuiya 彩凤随鸦
{4369}caigaobadou 才高八斗
{4368}caigaoyunjian 才高运蹇
{4367}caimaoshuangquan 才貌双全
{4366}caishuxueqian 才疏学浅
{4364}caiyunhengtong 财运亨通
{4363}caiyunyisan 彩云易散
{4365}caizijiaren 才子佳人
{4360}canbeilengzhi 残杯冷炙
{4359}canbianduanjian 残编断简
{4358}canbingbaijiang 残兵败将
{4351}canburendu 惨不忍睹
{4357}canchashengfan 残茶剩饭
{4350}candanjingying 惨淡经营
{4356}candonglayue 残冬腊月
{4361}canfenglusu 餐风露宿
{4362}canfengmuyu 餐风沐雨
{4355}cangenglengzhi 残羹冷炙
{4354}canhuabailiu 残花败柳
{4349}canjuerenhuan 惨绝人寰
{4347}canlanhuihuang 灿烂辉煌
{4346}canruofanxing 灿若繁星
{4352}canshijingtun 蚕食鲸吞
{4348}canwurendao 惨无人道
{4353}canzhayunie 残渣余孽
{4342}cangcuiyudi 苍翠欲滴
{4344}canghaisangtian 沧海桑田
{4343}canghaiyisu 沧海一粟
{4345}canghuangshicuo 仓皇失措
{4340}canglongwohu 藏龙卧虎
{4341}cangsongcuibai 苍松翠柏
{4339}cangtouluwei 藏头露尾
{4338}cangwunagou 藏污纳垢
{4336}caocaoshoubing 草草收兵
{4335}caojianrenming 草菅人命
{4334}caomangyingxiong 草莽英雄
{11}caomujiebing 草木皆兵
{4333}caoshuaicongshi 草率从事
{4332}caozhangyingfei 草长莺飞
{4337}caozhiguoji 操之过急
{4331}cemuershi 侧目而视
{4330}ceyinzhixin 恻隐之心
{4329}cencibuqi 参差不齐
{4328}cencicuoluo 参差错落
{4325}cengchubuqiong 层出不穷
{4327}cengjiheshi 曾几何时
{4326}cengjingcanghai 曾经沧海
{4324}cengluandiezhang 层峦叠嶂
{4322}chachinanfei 插翅难飞
{4321}chachinantao 插翅难逃
{4320}chakedahun 插科打诨
{4323}chaqiangrenyi 差强人意
{4318}chayanguanse 察言观色
{4319}chayufanhou 茶余饭后
{4317}chaziyanhong 姹紫嫣红
{4316}chailangdangdao 豺狼当道
{4313}changongzhegui 蟾宫折桂
{4314}chanmianfeice 缠绵悱恻
{4315}chanxianyudi 馋涎欲滴
{4312}changciyiwang 长此以往
{4311}changfengpolang 长风破浪
{4310}changgedangku 长歌当哭
{4298}changhuangmili 惝恍迷离
{4309}changmingbaisui 长命百岁
{4308}changnianleiyue 长年累月
{4307}changpiandalun 长篇大论
{4306}changpianleidu 长篇累牍
{4305}changquzhiru 长驱直入
{4297}changranruoshi 怅然若失
{4304}changshengbulao 长生不老
{4299}changshengjiangjun 常胜将军
{4296}changsuoyuyan 畅所欲言
{4295}changtongwuzu 畅通无阻
{4303}changtubashe 长途跋涉
{4302}changxiushanwu 长袖善舞
{4301}changxuduantan 长吁短叹
{4300}changzhijiuan 长治久安
{4294}chaochenbasu 超尘拔俗
{4293}chaoduzhongsheng 超度众生
{4292}chaofanrusheng 超凡入圣
{4291}cheshuimalong 车水马龙
{4289}chetouchewei 彻头彻尾
{4290}chezaidouliang 车载斗量
{4280}chenchenxiangyin 陈陈相因
{4279}chencilandiao 陈词滥调
{4277}chenguzilanzhima 陈谷子烂芝麻
{4283}chenguangxiwei 晨光熹微
{4278}chenguilouxi 陈规陋习
{4276}chenhuodajie 趁火打劫
{4287}chenmianjiuse 沉湎酒色
{4288}chenmoguayan 沉默寡言
{4275}chenredatie 趁热打铁
{4274}chenrenzhiwei 趁人之危
{4273}chenxinruyi 称心如意
{4282}chenxingyemei 晨兴夜寐
{4272}chenxuerru 趁虚而入
{4286}chenyinbujue 沉吟不决
{4285}chenyuluoyan 沉鱼落雁
{4281}chenzhongmugu 晨钟暮鼓
{4284}chenzifanqi 沉滓泛起
{4266}chengbaideshi 成败得失
{4237}chengbulituo 秤不离砣
{4254}chengfengpolang 乘风破浪
{4271}chenggudaogua 称孤道寡
{4268}chenghuqihou 瞠乎其后
{4257}chenghusheshu 城狐社鼠
{4258}chenghuangchengkong 诚惶诚恐
{4265}chengjialiye 成家立业
{4253}chengjiancefei 乘坚策肥
{4251}chenglongjiaxu 乘龙佳婿
{4252}chenglongkuaixu 乘龙快婿
{4255}chengmenlixue 程门立雪
{101}chengmenshihuo 城门失火
{4267}chengmujieshe 瞠目结舌
{4264}chengnianleiyue 成年累月
{4247}chengqianbihou 惩前毖后
{4246}chengqianqihou 承前启后
{4263}chengqianshangwan 成千上万
{4262}chengqunjiedui 成群结队
{4261}chengrenzhimei 成人之美
{4250}chengrenzhiwei 乘人之危
{4245}chengshangqixia 承上启下
{161}chengshibuzu 成事不足
{131}chengshizaitian 成事在天
{4270}chengwangchengba 称王称霸
{4249}chengxierru 乘隙而入
{4256}chengxiazhimeng 城下之盟
{4259}chengxinchengyi 诚心诚意
{157}chengxingerlai 乘兴而来
{4239}chengxingwangwei 逞性妄为
{4269}chengxiongdaodi 称兄道弟
{4238}chengxiongsinue 逞凶肆虐
