{44}jinmaodiaoqiu 锦帽貂裘
{372}jinribunengwang 尽日不能忘
{605}jinritingjungeyiqu 今日听君歌一曲
{94}jinriyounanguan 今日又南冠
{25}jinrizhiriduofanyou 今日之日多烦忧
{377}jinwohegongde 今我何功德
{187}jingqiyitanoulu 惊起一滩鸥鹭
{39}jiuhanxiongdanshangkaizhang 酒酣胸胆尚开张
{460}jiushimaodianshelinbian 旧时茅店社林边
{17}jubeixiaochouchougengchou 举杯销愁愁更愁
{107}jubeiyaomingyue 举杯邀明月
{20}juhuaiyixingzhuangsifei 俱怀逸兴壮思飞
{456}juanwowushangsanchongmao 卷我屋上三重茅
{525}jueshengyanliumanhuangdu 绝胜烟柳满皇都
{623}jueziruguiniao 决眦入归鸟
{602}junwenguiqiweiyouqi 君问归期未有期
{594}junxiangxiaoxiangwoxiangqin 君向潇湘我向秦
{259}junzihaoqiu 君子好逑
{428}kaixuanmianchangpu 开轩面场圃
{40}kansunlang 看孙郎
{211}kedeyongnian 可得永年
{48}kelianbaifasheng 可怜白发生
{537}keluqingshanwai 客路青山外
{8}kesheqingqingliusexin 客舍青青柳色新
{337}keyiweishiyi 可以为师矣
{299}kezhimeiwozhe 客之美我者
{312}kongfaqishen 空乏其身
{516}kutenglaoshuhunya 枯藤老树昏鸦
{131}kunhuanghuayeshuai 焜黄华叶衰
{247}lajuchenghuileishigan 蜡炬成灰泪始干
{499}laicongchuguoyou 来从楚国游
{127}laodatushangbei 老大徒伤悲
{47}laofuliaofashaoniankuang 老夫聊发少年狂
{218}laojifuli 老骥伏枥
{314}laoqijingu 劳其筋骨
{148}lidushipianwanguchuan 李杜诗篇万古传
{245}lihailuan 理还乱
{387}lijinbuzhire 力尽不知热
{375}lilusanbaidan 吏禄三百石
{65}lianjuanxifeng 帘卷西风
{461}liangsandianyushanqian 两三点雨山前
{231}liaoquejunwangtianxiashi 了却君王天下事
{216}lieshimunian 烈士暮年
{360}lingdingyanglitanlingding 零丁洋里叹零丁
{614}lingluochengninianzuochen 零落成泥碾作尘
{88}lingqikongjikan 灵旗空际看
{420}liuanhuamingyouyicun 柳暗花明又一村
{358}liuqudanxinzhaohanqing 留取丹心照汗青
{459}luzhuanxitouhujian 路转溪头忽见
{226}luanhuajianyumirenyan 乱花渐欲迷人眼
{26}luanwoxinzhe 乱我心者
{469}luntaidongmensongjunqu 轮台东门送君去
{354}luohongbushiwuqingwu 落红不是无情物
{158}luohuashijieyoufengjun 落花时节又逢君
{430}lvshucunbianhe 绿树村边合
{223}lvyangyinlibaishadi 绿杨阴里白沙堤
{51}mazuodilufeikuai 马作的卢飞快
{455}maofeidujiangsajiangjiao 茅飞渡江洒江郊
{458}maowuweiqiufengsuopoge 茅屋为秋风所破歌
{400}menqianliushuishangnengxi 门前流水尚能西
{55}menghuichuijiaolianying 梦回吹角连营
{277}mengluoyaozhui 蒙络摇缀
{622}mingyuebiezhijingque 明月别枝惊鹊
{173}mingyuelaixiangzhao 明月来相照
{15}mingzhaosanfanongpianzhou 明朝散发弄扁舟
{66}modaobuxiaohun 莫道不消魂
{502}momobudeyu 脉脉不得语
{423}moxiaonongjialajiuhun 莫笑农家腊酒浑
{196}moyanxialingbianwunan 莫言下岭便无难
{554}nanchaosibaibashisi 南朝四百八十寺
{452}nancunquntongqiwolaowuli 南村群童欺我老无力
{373}niancisizikui 念此私自愧
{12}niantiandizhiyouyou 念天地之悠悠
{178}niaoxiangyanshangfei 鸟向檐上飞
{31}penglaiciquwuduolu 蓬莱此去无多路
{22}penglaiwenzhangjianangu 蓬莱文章建安骨
