{369}bushixizhuishifengqiao 不是犀椎是凤翘
{3358}bushixuxinqidexian 不是虚心岂得贤
{2378}bushiyifanhanchegu 不是一番寒彻骨
{3426}bushiyifanmeichegu 不是一番梅彻骨
{3166}busihewei 不死何为
{1371}busiliang 不思量
{1443}busuanziyongmei 卜算子咏梅
{3430}buweifuyunzhewangyan 不畏浮云遮望眼
{2816}buweiwaquan 不为瓦全
{655}buxuchourenshui 不许愁人睡
{264}buxugumianbuduanchang 不许孤眠不断肠
{1452}buxutanbangongjinzun 不须檀板共金樽
{2349}buyaorenkuahaoyanse 不要人夸好颜色
{1796}buyaorenkuayansehao 不要人夸颜色好
{2312}buyijibei 不以己悲
{2174}buyijunzihu 不亦君子乎
{3079}buyilehu 不亦乐乎
{2135}buyiwangzifeibo 不宜妄自菲薄
{2313}buyiwuxi 不以物喜
{2177}buyiyuehu 不亦说乎
{3293}buyingyouhen 不应有恨
{479}buyuchuibian 不语垂鞭
{3044}buyuzefei 不预则废
{1303}buyuanjugongchemaqian 不愿鞠躬车马前
{2632}buzhibuxing 不止不行
{1317}buzhichengyuejirengui 不知乘月几人归
{2640}buzhichousiluoshuijia 不知愁思落谁家
{3036}buzhidao 不知道
{1596}buzhihechuchuiluguan 不知何处吹芦管
{416}buzhiheshiyinghuaibao 不知何事萦怀抱
{561}buzhiheyideciye 不知何以得此也
{1336}buzhijiangyuedaiheren 不知江月待何人
{2169}buzhimingjingli 不知明镜里
{3244}buzhinanfangbukenxiu 不指南方不肯休
{2251}buzhiqike 不知其可
{3324}buzhiqiusiluoshuijia 不知秋思落谁家
{1172}buzhitiandiyouqingshuang 不知天地有清霜
{1523}buzhitianshanggongque 不知天上宫阙
{3061}buzhiweibuzhi 不知为不知
{3179}buzhiwozhe 不知我者
{2800}buzhixiyeshuicaichu 不知细叶谁裁出
{2203}buzhiyi 不知义
{2}buzhizhengzhanjirenhai 不知征战几人还
{1577}buzhizhuanrucizhonglai 不知转入此中来
{2263}buzhuiqingyunzhizhi 不坠青云之志
{138}buzuofanhuazhu 不作繁华主
{3434}caidebaihuachengmihou 采得百花成蜜后
{2863}caijudonglixia 采菊东篱下
{1678}cailecansangyouchatian 才了蚕桑又插田
{42}caimingzhenxiangfu 才命真相负
{427}caisangzi 采桑子
{838}caishanyanhanchan 彩扇咽寒蝉
{99}caitingyeyu 才听夜雨
{3262}caixiameitou 才下眉头
{613}caixiangxingchuculianqian 采香行处蹙连钱
{460}candanhuanghuajie 惨淡黄花节
{360}cangengmuduanchuanshuyan 残更目断传书雁
{721}canlvchouhong 惨绿愁红
{2453}canxueansuibingsundi 残雪暗随冰笋滴
{2507}canxueyazhiyouyouju 残雪压枝犹有桔
{2962}canglinshierzhilijie 仓廪实而知礼节
{3411}canglongrimuhaixingyu 苍龙日暮还行雨
{888}cangyaxiliu 藏鸦细柳
{782}caoanxiechuan 草暗斜川
{2592}caocaoqieqiecuozadan 嘈嘈切切错杂弹
{1472}caojingruhuangyuan 草径入荒园
{2775}caokuyingyanji 草枯鹰眼疾
{1570}caomanchitangshuimanbei 草满池塘水满陂
{3463}caomubenwuyi 草木本无意
{2834}caoqianquerhouxiaosheng 操千曲而后晓声
{2304}caoqianquerzhiyin 操千曲而知音
{2159}caoserulianqing 草色入帘青
{2627}caoseyaokanjinquewu 草色遥看近却无
{1700}caozhangyingfeieryuetian 草长莺飞二月天
{1574}cezuomeitaicaoyingshen 侧坐莓苔草映身
{3373}cengjingcanghainanweishui 曾经沧海难为水
{1239}cengshijinghongzhaoyinglai 曾是惊鸿照影来
{1229}cengshiluoyanghuaxiake 曾是洛阳花下客
{233}cengshixiangtachunmengli 曾是向他春梦里
{2146}cengyiqisuobuneng 曾益其所不能
{2302}chazhihaoli 差之毫厘
{2703}chaimenwengoufei 柴门闻狗吠
{2070}chaimenwenquanfei 柴门闻犬吠
{689}chanchuxiazaoxian 蟾蜍下早弦
{592}chandilihua 铲地梨花
{2636}chanfanghuamushen 禅房花木深
{1719}chanyuyeduntao 单于夜遁逃
{2824}chanzaolinyujing 蝉噪林逾静
{45}changanernv 长安儿女
{1108}changbaqiufenchouweixie 唱罢秋坟愁未歇
{104}changdehutouci 唱得虎头词
{407}changduantianya 肠断天涯
{586}changduanyueminghongdoukou 肠断月明红豆蔻
{3213}changfengpolanghuiyoushi 长风破浪会有时
{2810}changgehuaicaiwei 长歌怀采薇
{2049}changgexing 长歌行
{2772}changheluoriyuan 长河落日圆
{1578}changhenchunguiwumichu 长恨春归无觅处
{2307}changjixitingrimu 常记溪亭日暮
{2092}changjianghoulangtuiqianlang 长江后浪推前浪
{2375}changjianglengyankanpangxie 常将冷眼看螃蟹
{2044}changkongqiujiezhi 常恐秋节至
{764}changshirenqianli 长是人千里
{1490}changshiyingxiongleimanjin 长使英雄泪满襟
{2669}changshiyingxiongleizhanjin 长使英雄泪沾襟
{3025}changtaixiyiyantixi 长太息以掩涕兮
{665}changtiaomomochui 长条脉脉垂
{624}changxianghuatuqingyehuanzhenzhen 长向画图清夜唤真真
{1125}changxiangsi 长相思
{544}chaolaidingyoushuang 朝来定有霜
{374}chaoleiruchao 朝泪如潮
{2715}chaopingliangankuo 潮平两岸阔
{1792}chaotianzi 朝天子
{1302}chechenmazuguizhequ 车尘马足贵者趣
{591}cheyedongfengshou 彻夜东风瘦
{1654}chenchengengguji 沉沉更鼓急
{948}chenjiaochenruanwu 趁娇尘软雾
{1366}chenmanmian 尘满面
{530}chenmanshuliansudaipiao 尘满疏帘素带飘
{1868}chenqidongzhengduo 晨起动征铎
{457}chenshengyanzikonglou 尘生燕子空楼
{306}chensiwangshilicanyang 沉思往事立残阳
{26}chenxifengshaobian 趁西风烧遍
{117}chenxieyangyulangxiangfu 趁斜阳鱼浪香浮
{3245}chenxinyipiancizhenshi 臣心一片磁针石
{2856}chenxinglihuanghui 晨兴理荒秽
{1087}chenyinzhijin 沉吟至今
{960}chenyuyi 陈与义
{542}chenyuanweiduan 尘缘未断
{3440}chenzhoucepanqianfanguo 沉舟侧畔千帆过
{2615}chenzhoucepanqianfanjin 沉舟侧畔千帆进
{1263}chenzihen 臣子恨
{2306}chenzuibuzhiguilu 沉醉不知归路
{1633}chengchuncaomushen 城春草木深
{2839}chengjiangjingrulian 澄江静如练
{1353}chengjiangyidaoyuefenming 澄江一道月分明
{2815}chengmenshihuo 城门失火
{71}chengmingbanlie 承明班列
{2638}chengmingyijiurong 称名忆旧容
{2475}chengrurongyiquejianxin 成如容易却艰辛
{1242}chengshangxieyanghuajiaoai 城上斜阳画角哀
{1496}chengxiangcitanghechuxun 丞相祠堂何处寻
{2138}chengyikaizhangshengting 诚宜开张圣听
{2534}chengyouqinjianbaiyoushe 成由勤俭败由奢
{1467}chibi 赤壁
{1356}chierliaoquegongjiashi 痴儿了却公家事
{2038}chilechuan 敕勒川
{2039}chilege 敕勒歌
{1941}chirijiangshanli 迟日江山丽
{1750}chishang 池上
{571}chishuchunxing 痴数春星
{359}chisuhaixi 尺素还稀
{2838}chitangshengchuncao 池塘生春草
{3015}chiyousuoduan 尺有所短
{2859}chiyusiguyuan 池鱼思故渊
{2985}chizhiyougu 持之有故
{2328}chongguanyinuweihongyan 冲冠一怒为红颜
{835}chongjiu 重九
{645}chongkanyibanmohu 重看一半模糊
{2704}chongshengxintoulvchuangsha 虫声新透绿窗纱
{211}chouchangcaiyunfei 惆怅彩云飞
{395}chouchangliqing 惆怅离情
{140}chouchangyuyanchengjianzu 惆怅玉颜成间阻
{3281}choudaoduanshuishuigengliu 抽刀断水水更流
{606}chouhenmandiwurensheng 愁痕满地无人省
{1481}chouletianyangzhouchufengxishangjianzeng 酬乐天扬州初逢席上见赠
{3346}chourenzhiyechang 愁人知夜长
{272}chouwuxian 愁无限
{467}chouxiangfengqianwuchushuo 愁向风前无处说
{2277}chouyuncandanwanlining 愁云惨淡万里凝
{2789}chuchuwentiniao 处处闻啼鸟
{2231}chuewujin 除恶务尽
{2908}chufeijimowei 除非己莫为
{2532}chufengqingyulaofengsheng 雏凤清于老凤声
{1756}chuhe 锄禾
{1884}chuheridangwu 锄禾日当午
{2139}chujianghuzhiyuanzeyouqijun 处江湖之远则忧其君
{2641}chumenjushikanhuaren 出门俱是看花人
{1751}chumofengboli 出没风波里
{1582}chuqinghouyu 初晴后雨
{3372}chuquewushanbushiyun 除却巫山不是云
{2013}chusai 出塞
{119}chushangliangou 初上帘钩
{2670}chushiweijieshenxiansi 出师未捷身先死
{2431}chushiyibiaozhenmingshi 出师一表真名世
